,title of product,star ratings on Amazon,number of reviews on Amazon,rank on Amazon best selling iced tea,prices of items on Amazon,number of items per pack,number of packs,total number of items,drink container of item,Material of drink item,width (cm) of item,height (cm) of item,depth (cm) of item,weight (kg) of item,total volume (ml) of item,volume per bottle (ml) of item,caffeine in item,caffeine description,caffeine mg per bottle,country of origin of item,Additives in item,Additive contents in item,Storage Instructions of item,preservatives in item,energy (kcal) in item,Fat (g) in item,Protein (g) in item,Salt (g) in item,Sodium (g) in item,Reviews title of prices that are positive,Reviews contents of prices that are positive,Reviews title of prices that are critical,Reviews contents of prices that are critical
65,"Equinox Kombucha x Organic Fizzy Drink, Equinox Kombucha Ginger, 250 ml",4.3 out of 5 stars,158,#66,"Out of Stock, no Prices available",1,0,,can,metal,5.4,5.4,13.4,250,250,250,,,,UK,,,?Keep refrigerated,,3.11,0.1,0.1,0,,"Excellent taste but hyper inflated price point!, Tasty and good for you","To begin, I've tried many different kombuchas over the past 5 years. I've got a bias towards ginger based ones. This one is by far the best I've tried. True ginger flavour without any sort of artificial sweetner aftertaste (I try to avoid those ones as I prefer them less). Flavor excellent (although I haven't tried any of the other falvours from Equinox). Comes in a can which is convenient for bringing to BBQs or the beach. Nice that it's organic although it doesn't make a difference to me. Just wish a better discount option was available for bulk purchases, I'd be inclined to do larger monthly orders.

Edit: In the few weeks since writing this review, the price has increased from �1.50 to �2.25. For this reason, it is now 3-stars. Will no longer be buying as there are other similar products with prices like the old one.; Lovely to drink, shame about the price.",,
66,"Vita Sugar Cane Juice Drink, 1.5 kg",2.4 out of 5 stars,2,#67,£9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Teapigs Black Tea with Peach Iced Tea (12 Cans of 250 ml) | UK Freshly Brewed | 100% Natural,1.0 out of 5 stars,1,#68,£19.90,12,1,,can,metal,21.9,16.6,14.5,3.31,3000,250,yes,medium caffeine,,UK,,,,,,,,,,,,,
68,San Pellegrino Peach Iced Tea Cans 24 x 250ml,4.8 out of 5 stars,85,#69,"Out of Stock, no Prices available",24,1,,can,metal,,,,,6000,250,,,,,,,,,,,,,,5.0 out of 5 stars Testy and healthy drink,"It's very nice alternative to fuzzy drinks, very refreshing and testy alternative. The only downside is price, but it comes in small packs that usually enough for one person without waste or trying to fit the rest into fridge.",,
69,The Original Chatramue Thai Ice Tea Mix - Number One Brand in Thailand! 190g Bag - Great for Making Real Iced Tea at Home,4.2 out of 5 stars,18,#70,£9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Ahmad Tea Mango & Lychee Cold Brew Green Iced Tea - 6 x 20 Teabags,",4.5 out of 5 stars,17,#71,£9.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Harry Brompton's London Ice Tea. Made with Real Black Tea and Squeezed Lemon and Lime Juice. 70 Calories, No Artificial Sweeteners, Antioxidant-Rich and High in Vitamin C. 500ml (Pack of 12).",4.3 out of 5 stars,60,#72,"Out of Stock, no Prices available",12,1,,bottle,plastic,27.5,21,19.5,6.42,6000,500,yes,caffeinated,,UK,,,?store in a cool dry place,no,,,,,,,,,
72,Lipton Iced Tea Brew Gallon Size Tea Bags - 48ct,4.8 out of 5 stars,"10,121",#73,£31.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Pokka Oolong Tea - 24 x 500ml Bottles,5.0 out of 5 stars,9,#74,"Out of Stock, no Prices available",24,1,,bottle,plastic,,,,,12000,500,,,,,,,,,,,,,,,,,
74,Lipton Lemon Ice Tea - 12x500ml,4.6 out of 5 stars,129,#75,£16.69,12,1,,bottle,plastic,26,19,21,6.29,6000,500,no,,,UK,,,,no,,,0.5,,," Make sure price is competitive, love this stuff","Just as you'd expect from Lipton Peach, just a shame that these are over a RRP of �1 each if buying 2 for �2 from a local off-licence but still at a convenient price that it was close to �1.05 per bottle (at time of purchase). As a whole I cannot fault the product.; i love this tea use it all the time even better if i get it bargain price",,
75,Nestea Lemon Blend Iced Tea (Makess 50 Glasses) 450g,3.2 out of 5 stars,11,#76,£14.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Lipton Sweetened Iced Tea Mix Southern Sweet Tea 1.87kg Makes 28 Quarts,4.5 out of 5 stars,352,#77,"Out of Stock, no Prices available",,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"2 x 1 Litre Sweetbird Coffee, Cocktail, Cooking, Iced Tea Drink Syrup Multi Flavours (2 x Spiced Chai)",5.0 out of 5 stars,1,#78,£19.97,2,1,,bottle,plastic,,,,,2000,1000,,,,UK,,,,,,,,,,,,,
78,Oishi Green Tea Honey Lemon 500ml by OISHI,Not available,Not available,#79,£4.99,1,0,,bottle,plastic,,,,,,500,,,,Japan,,,,,,,,,,,,,
79,Arizona Sun Brewed Style Iced Tea with Peach Flavour 680ml (Pack of 24),4.3 out of 5 stars,14,#80,"Out of Stock, no Prices available",24,1,,can,metal,,,,,16320,680,,,,,,,,,,,,,,,,,
80,"AriZona Original Green Tea with Honey - Low Sugar, Low Calorie - 500 ml, Pack of 12 Healthy Tea",4.6 out of 5 stars,27,#81,"Out of Stock, no Prices available",12,1,,can,metal,40.4,29,19.9,6.42,6000,500,,,,,,,,no,,,,,,,,,
81,"ChariTea Mixed Pack - 24 x 330ml Bottle Variety Pack Of Iced Tea With 4 Flavours, Red, Mate, Black & Green Iced Teas",4.7 out of 5 stars,3,#82,£49.99,24,1,,bottle,glass,,,,,7920,330,,,,,,,,,,,,,,,,,
82,Jasmine Grapefruit Ice Tea by KAYTEA - Organic Certified - Low Calorie - Cold Brewed - Jasmine Green Tea Infusion - Refreshingly Light - Recyclable Cans (Pack of 12 x 330mL),5.0 out of 5 stars,7,#83,£20.29,12,1,,can,metal,23.8,18,15.5,4.1,3960,330,yes,low caffeine,,UK,yes,"?Low Calorie, Organic Certified, Vegan",,,,,,,,,,,
83,Ocha San Original Japanese Brown Sugar Bubble Milk Tea Drink with Boba Pearls | 4 x 230ml cans,5.0 out of 5 stars,4,#84,"Out of Stock, no Prices available",4,1,,can,metal,13.5,10.6,10.5,1.04,920,230,,,,,,,,no,,,,,,,,,
84,Arizona Original Iced Tea Can 500ml (Pack of 12) (Watermelon),4.4 out of 5 stars,31,#85,£29.99,12,1,,can,metal,27.43,20.57,17.02,6.53,6000,500,,,,,,,,,,,,,,,,,
85,Arizona Kiwi Strawberry 23 FL OZ (695ml) - 6 Cans,4.4 out of 5 stars,7,#86,£11.99,6,1,,can,metal,22.5,15.01,19,4.44,4081,695,,,,,,,,,,,,,,,,,
86,Master Kong Green Tea 2L (6 Bottles) 康师傅绿茶,Not available,Not available,#87,"Out of Stock, no Prices available",6,1,,bottle,plastic,,,,13,2000,333.33,,,,,,,,,,,,,,,,,
87,AriZona Green Tea with Ginseng and Honey 340ml 11.5oz (Pack of 12),4.6 out of 5 stars,29,#88,"Out of Stock, no Prices available",12,1,,tin,pliable  metal,,,,,4080,340,,,,,,,,,,,,,,"Always great, no issues with delivery and great price",Chef kiss,,
88,Chai Craft Instant Tea Premix - Watermelon Ice Tea -Regular Sugar - (10 Sachets) 10 x 13 =130g| Watermelon Ice Tea | Ready Mix Tea | Ice Tea | Flavoured Tea | Tea Mix Instant Sachets (Watermelon),Not available,Not available,#89,£5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,ChariTea Mate - Sparkling Iced Yerba Mate Tea - Real Brewed - Organic & Fairtrade - Vegan - No Refined Sugar - Naturally Sweetened - Low Calorie (12x330ml),3.7 out of 5 stars,6,#90,"Out of Stock, no Prices available",12,1,,bottle,glass,,,,,3960,330,yes,caffeinated,,,,,,,,,,,,,,,
90,Charitea Green Iced Tea with Ginger 330 ml (Pack of 12),4.0 out of 5 stars,34,#91,"Out of Stock, no Prices available",12,1,,bottle,glass,,,,,,,,,,,,,,,,,,,,,,,
91,"Lipton Raspberry Ice Tea, 1.25L (Pack of 6)",4.6 out of 5 stars,139,#92,"Out of Stock, no Prices available",6,1,,bottle,bottle,22,33,16.5,40,3960,330,no,,,UK,,,,,?15.06,,,,,,,,
92,Arizona Original Iced Tea Can 500ml (Pack of 12) (Peach with Honey),4.7 out of 5 stars,24,#93,"Out of Stock, no Prices available",12,1,,can,metal,27.8,20.3,17.6,6.39,6000,500,,,,,,,,,,,,,,"
5.0 out of 5 stars Thitst quenching","Tasty and refreshing. Only problem is price compared to lidl.
Over priced but if you can't get it in local shops,
you will pay what you want to get these.",,
93,Arizona Ice tea with Peach flavour 500 ml (Pack of 6),Not available,Not available,#94,£12.99,6,1,,bottle,bottle,,,,3,3000,500,,,,US,,,,,,,,,,,,,
94,Iced Tea Peach The' Pesca Sleek 24 can x 330 ml. - San Benedetto,4.7 out of 5 stars,13,#95,£22.19,24,1,,can,metal,,,,,7920,330,,,,,,,,,,,,,,,,,
95,"2 x 1 Litre Sweetbird Coffee, Cocktail, Cooking, Iced Tea Drink Syrup Multi Flavours (2 x Peach Iced Tea)",4.8 out of 5 stars,7,#96,£20.48,2,1,,bottle,plastic,,,,,20000,1000,,,,UK,,,,,,,,,,,,,
96,Charitea Black Iced Tea with Lemon 330 ml,4.0 out of 5 stars,24,#97,"Out of Stock, no Prices available",1,0,,bottle,glass,16.99,38.99,423.36,40,,330,,,,,,,,,,,,,, Poor,"The flavours just aren't balanced, there's no sweetness to it, it's watery, bland and leaves a terrible aftertaste, due to the price for a 330 ml bottle being more than what you'd pay if you bought a larger bottle from a bigger brand, it is a premium product but it just doesn't taste that way.",,
97,Original Number One Brand Thai Tea Mix - 200g,4.6 out of 5 stars,45,#98,"Out of Stock, no Prices available",,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,Charitea Red Iced Rooibos with Passion Fruit 330 ml,4.4 out of 5 stars,30,#99,"Out of Stock, no Prices available",1,0,,bottle,glass,15.29,22,370.4,40,,330,,,,UK,,,,,16.25,,,,,"
5.0 out of 5 stars Really Loved This, But At �5 Now For A Bottle No Way",It had such a nice taste. I really enjoyed the sweetness when I first took it out of the fridge. And then I looked at ordering again and the price went up over �5. Nope.,,
99,"KSF Master Kong Jasmine Green Tea Bottle 500ml, flavour water",5.0 out of 5 stars,1,#100,"Out of Stock, no Prices available",1,0,,bottle,glass,6.7,6.7,20.5,530,,500,yes,low caffeine,,,,,,,,,,,,,,,
