,title of product,star ratings on Amazon,number of reviews on Amazon,rank on Amazon best selling iced tea,prices of items on Amazon,number of items per pack,number of packs,total number of items,drink container of item,Material of drink item,width (cm) of item,height (cm) of item,depth (cm) of item,weight (kg) of item,total volume (ml) of item,volume per bottle (ml) of item,caffeine in item,caffeine description,caffeine mg per bottle,country of origin of item,Additives in item,Additive contents in item,Storage Instructions of item,preservatives in item,energy (kcal) in item,Fat (g) in item,Protein (g) in item,Salt (g) in item,Sodium (g) in item,Reviews title of prices that are positive,Reviews contents of prices that are positive,Reviews title of prices that are critical,Reviews contents of prices that are critical
10,Tea Pigs Blackcurrent and Raspberry Cold Brew Tea Bags (1 Pack of 10 Tea Bags),4.3 out of 5 stars,103,#11,£4.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
11,Tea Pigs Watermelon and Hibiscus Cold Brew Tea Bags (1 Pack of 10 Tea Bags),4.2 out of 5 stars,90,#12,£3.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
12,Crystal Light Peach Iced Tea Drink Mix Makes 32 Quarts 129g,4.5 out of 5 stars,883,#13,£13.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
13,Teapigs Cucumber And Apple Cold Brew Tea Bags (1 Pack of 10 Tea Bags),4.1 out of 5 stars,308,#14,£3.00,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
14,"Arizona Blueberry White Tea, Pack of 6 x 500ml PET Bottles, Delicious Fruity Iced Tea Drink, No Artificial Colours, No Artificial Preservatives",4.8 out of 5 stars,25,#15,£9.99,6,1,6,bottle,plastic,35,25,30,3,3000,500,yes,low caffeine,,France,n/a,n/a,?See The Packaging For More Information,no,0,0,0,0,,5.0 out of 5 stars Deliciously Refreshing,The pomegranate flavour is the best! So yum with the perfect sweetness. Price is also decent for a pack of 6. Will definitely purchase again.,,
15,Teapigs Lychee And Rose Cold Brew Tea Bags (1 Pack Of 10 Tea Bags),4.3 out of 5 stars,419,#16,£4.75,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
16,Master Kong Black Ice Tea 500mL (15 Bottles),4.6 out of 5 stars,21,#17,£28.50,15,1,15,bottle,plastic,35,22.5,21,8.47,7500,500,n/a,n/a,,China,n/a,n/a,,,,,,,, To expensive,19.99 in any chinese supermarket Not the extortionate price above!,,
17,Lipton Iced Tea Mix - Diet Decaffeinated Lemon - 3 oz,4.3 out of 5 stars,321,#18,£13.99,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
18,Buddy State Lemon Lush Lemon Iced Tea Syrup Stix Eco Friendly Packaging. Add One to a Water Bottle to Make 500ml of Sweet Lemon Tea. Makes 10 Liters of Ice Tea. Box of 20 7.5ml Tea Sachets (Pack Of 1),3.6 out of 5 stars,224,#19,£16.99,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
19,Teapigs Kombucha Variety Pack (3 Cans of 250ml) 1x Original |1x Peach and Mango |1x Ginger and Lemongrass | Contains Caffeine| UK Freshly Brewed,4.0 out of 5 stars,16,#20,£6.99,3,1,3,can,metal,19,14.4,6.2,880,750,250,yes,medium caffeine,,UK,n/a,?Keep chilled. Once opened consume within 3 days.,,,,,,,,,,2.0 out of 5 stars Much better kombucha out there for a lower price,"I love teapigs, they are a great high quility tea company, but their kombucha is overpriced. I've tried many different kombucha brands and you can absolutely get the same quility kombucha for half the price, sometimes even better quility. Think I will stick to teapigs tea - that's what they are best at."
20,"Number One The Original Thai Iced Tea Mix - Number One Brand Imported From Thailand - Great for Restaurants That Want to Serve Authentic and Thai Iced Teas, 400g Bag",4.5 out of 5 stars,145,#21,£9.48,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
21,Lipton Iced Tea - Natural Lemon - Makes 20 Quarts - Net weight 47.2oz (2lbs 15.2oz) 1.34kg,4.3 out of 5 stars,18,#22,£14.65,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
22,"Arizona Peach Iced Tea, Pack of 6 x 500ml PET Bottles, Delicious Fruit Tea Drink, No Artificial Flavours, No Artificial Preservatives.",4.7 out of 5 stars,4,#23,£11.49,6,1,6,bottle,plastic,35,25,30,3,3000,500,yes,low caffeine,,Germany,n/a,n/a,?See The Packaging For More Information,no,0,0,0,0,,,,,
23,Arizona Lemon Iced Tea 500 ml (Pack of 6),4.3 out of 5 stars,66,#24,£11.99,6,1,6,bottle,plastic,7.3,7.3,19.6,0.5,3000,500,,,,Germany,no,,Keep refrigerated. Store in a cool dark place.,no,30.11,0,0.02,,," Five Stars, Perfect","quick delivery great price will use again thank you; Excellent quality, price and arrived quickly!",,
24,"Twinings, Cold Brewed Iced Tea, Peach, 20 Tea Bags, 1.41 oz (40 g)",4.4 out of 5 stars,386,#25,£7.98,,,0,,,,,,,,,,,,,,,,,,,,,,,,,
25,Lipton Iced Tea Peach Drink Mix Makes 10 Quarts 670g Tub,4.5 out of 5 stars,40,#26,"Out of Stock, no Prices available",,,0,,,,,,,,,,,,,,,,,,,,,,,,,
26,"Lipton Ice Tea Peach Flavoured Still Soft Drink, 12 x 500 ml - 2 Pack",4.6 out of 5 stars,129,#27,£27.19,6,2,12,bottle,plastic,,,,,12000,500,n/a,,,,,,,,,,,,,"Make sure price is competitive., love this stuff","Just as you'd expect from Lipton Peach, just a shame that these are over a RRP of �1 each if buying 2 for �2 from a local off-licence but still at a convenient price that it was close to �1.05 per bottle (at time of purchase). As a whole I cannot fault the product.; i love this tea use it all the time even better if i get it bargain price",,
27,Vita Lemon Tea Drink - 48 x 250ml Cartons,4.6 out of 5 stars,13,#28,£51.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Zacely Lychee & Jasmine Iced Tea - 100% Natural Floral & Fruit Tea Powder - Easy to Make Dried Instant Tea Powder for Long Shelf Life - Delicious Lychee & Green Jasmine Cold Brew – 1 kg Premium,4.0 out of 5 stars,2,#29,£16.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,TWG TEA Crème Caramel Tea - Tea - Iced Tea - South African Red Tea - Tea Blend in Haute Couture - Gift Tea Tin - 37.5g,4.1 out of 5 stars,19,#30,"Out of Stock, no Prices available",,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,San Benedetto Iced Tea Lemon 1.5 Litre (Pack of 6),4.3 out of 5 stars,10,#31,£13.73,6,1,,bottle,plastic,33.2,26.4,17,9.24,9000,1500,no,,,,,,,,,,,,,,,,
31,Arizona Southern Style Sweet Tea 680ml (Pack of 24),4.6 out of 5 stars,25,#32,£35.99,24,1,,can,metal,,,,,16320,680,,,,United States,,,,,,,,,, Great Arizona Sweet Tea,The flavour is great and the price beats many other UK retailers.,,
32,Green Tea Drink Genmai Flavour 500ml by Oishi,5.0 out of 5 stars,2,#33,£4.99,1,0,,bottle,plastic,,,,,500,500,no,,,,,,,,,,,,,,,,
33,Vita Ceylon Lemon Tea Drink 250ml (Pack of 6),4.2 out of 5 stars,4,#34,£9.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Tuk Tuk Chai Ready-to-Drink Iced Milk Tea | 12 x Flavoursome Masala | Vegetarian | Gluten-Free | Nothing Artificial | Only 125 Kcal (12x250ml),4.2 out of 5 stars,45,#35,£21.00,12,1,,tin,pliable metal,30.6,11.1,14.2,3.39,3500,250,,,,Germany,,,"?Store in a cool, dry place. Once opened refrigerate and consume within 2 days. For Best Before see top",,,,,,,4.0 out of 5 stars Tasty but pricey,"I really enjoyed the flavour of this milk tea, i could definitely taste the different spices. The only downside i find is the price per unit for a 250ml pack each I find it quite pricey?",,
35,Good Earth Tea Organic Ginger and Lemon Kombucha (12x Cans of 250 ml) Sparkling Fermented Tea - Made with Live Cultures Suitable for Vegans,3.6 out of 5 stars,6,#36,£12.72,12,1,,can,metal,22.5,16.3,13.7,3.22,3000,250,yes,medium caffeine,,Austria,,,,,,,,,,,, Not actually kombucha - check ingredients,"If you check the ingredients it�s actually only 4% kombucha, the rest is sparkling water and sugar. Shouldn�t be allowed to called kombucha, really. For this price you can buy actual kombucha instead."
36,Lipton Ice Tea Lemon 500 ml (Pack of 12 x 500 ml),4.6 out of 5 stars,78,#37,£15.25,12,1,,bottle,plastic,25.8,22,18.8,6.5,6000,500,,,,UK,no,n/a,,,,,,,,,,Miss sold product,"the product is great BUT price on bottle does not agree with payment. Thought if product states �1 each or 2 for �1.50, why would you wont to pay more ?? I bought 24 bottles at accost of �27.04 - but bottles state that it should have cost �18.00 , that's a BIG difference"
37,"Simply Peach Iced Tea Syrup, 250 ml",3.8 out of 5 stars,21,#38,£3.90,1,0,,bottle,plastic,5.5,5.5,18,340,250,250,,,,UK,,,"Store in dry, cool ambient conditions, away from heat sources and odorous materials.",yes,268.4,0,0,0.2,,,,,
